sample_id,stratum_name,cl250,cl500
1010,apartment_block,2,2
1011,apartment_block,1,1
1012,apartment_block,1,1
1013,apartment_block,1,1
1014,apartment_block,1,1
1015,apartment_block,1,1
1016,apartment_block,1,1
1017,apartment_block,1,1
1018,apartment_block,1,1
1019,apartment_block,1,1
1020,apartment_block,1,1
1021,apartment_block,2,1
1022,apartment_block,4,2
1023,apartment_block,2,2
1024,apartment_block,2,2
1025,apartment_block,2,2
1026,apartment_block,2,2
1027,apartment_block,2,2
1028,apartment_block,2,2
1029,apartment_block,4,2
1030,apartment_block,4,2
1031,apartment_block,1,1
1032,apartment_block,1,1
1033,apartment_block,1,1
1034,apartment_block,4,2
1035,apartment_block,2,2
1036,apartment_block,1,1
1037,apartment_block,2,1
1038,apartment_block,1,1
1039,apartment_block,1,1
1040,apartment_block,1,1
1041,apartment_block,1,1
1042,apartment_block,1,1
1043,apartment_block,1,1
1044,apartment_block,1,1
1045,apartment_block,1,1
1046,apartment_block,1,1
1047,apartment_block,1,1
1048,apartment_block,2,2
1049,apartment_block,4,3
1050,apartment_block,2,2
1051,apartment_block,2,2
1052,apartment_block,2,2
1053,apartment_block,4,2
1054,apartment_block,4,3
1055,apartment_block,2,2
1056,apartment_block,2,2
1057,apartment_block,2,2
1058,apartment_block,1,1
1059,apartment_block,2,1
1060,apartment_block,2,1
1061,apartment_block,2,1
1062,apartment_block,2,2
1063,apartment_block,2,2
1064,apartment_block,2,1
1065,apartment_block,1,1
1066,apartment_block,1,1
1067,apartment_block,1,1
1068,apartment_block,1,1
1069,apartment_block,1,1
1070,apartment_block,1,1
1071,apartment_block,1,1
1072,apartment_block,1,1
1073,apartment_block,1,1
1074,apartment_block,1,1
1075,apartment_block,2,2
1076,apartment_block,2,2
1077,apartment_block,2,2
1078,apartment_block,4,2
1079,apartment_block,4,3
1080,apartment_block,4,2
1081,apartment_block,2,2
1082,apartment_block,2,2
1083,apartment_block,2,2
1084,apartment_block,2,2
1085,apartment_block,2,2
1086,apartment_block,4,3
